ISO639-3	Family
nrb	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Northern|Nara
nso	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Sotho-Tswana
nub	Nilo-Saharan|Eastern Sudanic|Northern Eastern|Nubian Languages
nui	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A|Bubi-Benga
nus	Nilo-Saharan|Eastern Sudanic|Southern Eastern|Nilotic|Western|Dinka–Nuer|Nuer
nya	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|N|Chewa-Nyanja
nyn	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J|Nyoro-Ganda
nyo	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J|Nyoro-Ganda
nyy	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|M|Nyakyusa-Ngonde
oki	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Southern|Kalenjin|Okiek|Nandi
orm	Afro-Asiatic|Cushitic|East|Oromo
orx	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Cross River|Delta Cross|Lower Cross|Obolo|Oro|West
pbo	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Bak|Manjaku-Papel|Jola Proper|Kwatay|Jola-Kasa
pem	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|L|Pende
pkb	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E|Nyika-Taita
pko	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Southern|Kalenjin|Pokot|Nandi
pnq	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Southern|Grusi|Northern|Southeast|Dagaari-Birifor|Dagaari
puu	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|B|Shira-Punu
rel	Afro-Asiatic|Cushitic|East|Rendille-Boni|B.3|Zaar Proper|2
rkm	Niger-Congo|Mande|Western|Central-Southwestern|Central|Manding-Jogo|Manding-Vai|Manding-Mokole|Manding|Manding-East|Marka-Dafin|Dagaari
run	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J|Ruanda-Rundi
sad	Language Isolate
saq	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Eastern|Lotuxo-Teso|Lotuxo-Maa|Ongamo-Maa
seg	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E|Nyika-Taita
shi	Afro-Asiatic|Berber|Northern|Atlas
shk	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Luo|Northern|Shilluk|Mabaan
shu	Afro-Asiatic|Semitic|Central|South|Arabic|Mandaic|Northwestern|West
sid	Afro-Asiatic|Cushitic|East|Highland|B.3|Zaar Proper|2
sna	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Shona
snk	Niger-Congo|Mande|Western|Northwestern|Soninke-Bobo|Soninke-Boso|Soninke|Jenaama|Mokole|Manding-West|Southeastern Manding|Maninka-Mori
som	Afro-Asiatic|Cushitic|East|Somali|B.3|Zaar Proper|2
son	Nilo-Saharan|Songhay
sot	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Sotho-Tswana
spy	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Southern|Kalenjin|Elgon|Turkana
srr	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Senegambian|Serer|Wolof|Western|Jola-Kasa
ssw	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Nguni
ssy	Afro-Asiatic|Cushitic|East|Saho-Afar|B.3|Zaar Proper|2
sus	Niger-Congo|Mande|Western|Central-Southwestern|Central|Susu-Yalunka|Manding-Vai|Vai-Kono|Mokole|Manding-West|Southeastern Manding|Maninka-Mori
swa	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|G|Swahili
