defined_class	defined_class_label	population_size	wiki	parent_class_label
AfPO:0000071	Dinka	5 millions	https://en.wikipedia.org/wiki/Dinka	Nilotic Eastern
AfPO:0000431	Marka	0.4 millions	https://en.wikipedia.org/wiki/Marka_people	Mande Western
AfPO:0000465	Makaa@en	89500	https://en.wikipedia.org/wiki/Makaa_people	Bantu Central
AfPO:0000483	Tupuri@en		https://en.wikipedia.org/wiki/Tupuri_people	Central African
AfPO:0000191	Mattokki	0.050 million		Nubian Northern
AfPO:0000429	Bissa	1.7 millions	https://en.wikipedia.org/wiki/Bissa_people	Mande Western
AfPO:0000184	Semitic Eastern		https://en.wikipedia.org/wiki/Semitic_people	Eastern African
AfPO:0000284	Mbuti	0.01 milion	https://en.wikipedia.org/wiki/Mbuti_people	Pygmy Central
AfPO:0000278	Kanuri	>10 millions	https://en.wikipedia.org/wiki/Kanuri_people	Nilotic Central, Nilotic Western
AfPO:0000421	Ewe	6 millions	https://en.wikipedia.org/wiki/Ewe_people	Western African
AfPO:0000396	Tigrinya	10.3 millions	https://en.wikipedia.org/wiki/Tigrayans	Semitic Eastern
AfPO:0000327	British diaspora	2.5 millions	https://en.wikipedia.org/wiki/British_diaspora_in_Africa	Southern African, Eastern African
AfPO:0000417	Edo	1.6 millions	https://en.wikipedia.org/wiki/Edo_people	Western African
AfPO:0000257	Mahafaly	0.15 million	https://en.wikipedia.org/wiki/Mahafaly	Malagasy
AfPO:0000400	Basoga	2.9	https://en.wikipedia.org/wiki/Busoga	Bantu Eastern
AfPO:0000509	Marakwet@en	180000	https://en.wikipedia.org/wiki/Marakwet_people	Kalenjin
AfPO:0000243	Nyakyusa	1.050 millions	https://en.wikipedia.org/wiki/Nyakyusa_people	Bantu Eastern
AfPO:0000301	Mbunda	0.5 million	https://en.wikipedia.org/wiki/Mbunda_people	Kongo
AfPO:0000145	Tuareg	2.5 millions	https://en.wikipedia.org/wiki/Tuareg_people	Berber Northern, Berber Western
AfPO:0000281	Pygmy Central		https://en.wikipedia.org/wiki/Pygmy_peoples	Central African
AfPO:0000580	<http://purl.obolibrary.org/obo/afpo.owl#Karonica>	117000	https://en.wikipedia.org/wiki/Karoninka_people	Jola
AfPO:0000561	Sherbro@en	134606	https://en.wikipedia.org/wiki/Sherbro_people	Western African
AfPO:0000468	Ngumba@en		https://fr.wikipedia.org/wiki/Ngoumba_(peuple)	Bantu Central
AfPO:0000402	Embu	>0.4 million	https://en.wikipedia.org/wiki/Embu_people	Bantu Eastern
AfPO:0000540	Samoya@en	30900		Gurma
AfPO:0000553	Kuranko@en	> 2 millions	https://en.wikipedia.org/wiki/Kuranko_people	Mande Western
AfPO:0000407	Nyoro	1.4 million	https://en.wikipedia.org/wiki/Nyoro_people	Bantu Eastern
AfPO:0000153	Dagaaba	1 million	https://en.wikipedia.org/wiki/Dagaaba_people	Western African
AfPO:0000261	Zoreille		https://en.wikipedia.org/wiki/Zoreilles	Eastern African
AfPO:0000276	Southern African			Population
AfPO:0000505	Bezanozano@en	100000	https://en.wikipedia.org/wiki/Bezanozano	Malagasy
AfPO:0000380	Birged			Nubian Eastern
AfPO:0000102	Lunda		https://en.wikipedia.org/wiki/Lunda_people	Bantu Central
AfPO:0000180	Seychellois			Eastern African
AfPO:0000147	Dagomba	0.93 millions	https://en.wikipedia.org/wiki/Dagomba_people	Western African
AfPO:0000415	Buduma	0.128 millions	https://en.wikipedia.org/wiki/Buduma_people	Western African
AfPO:0000264	Ubangi Central			Central African
AfPO:0000351	Swazi	2.3 millions	https://en.wikipedia.org/wiki/Swazi_people	Nguni
AfPO:0000573	Birwa	35500	https://en.wikipedia.org/wiki/Bobirwa	Southern African
AfPO:0000128	Fang	1 million	https://en.wikipedia.org/wiki/Fang_people	Bantu Central
AfPO:0000069	Zulu	12 millions	https://en.wikipedia.org/wiki/Zulu_people	Nguni
AfPO:0000188	Eastern African			Population
AfPO:0000426	Mole-Dagbani	8.6 millions	https://en.wikipedia.org/wiki/Dagomba_people	Gurma
AfPO:0000240	Sena	2 millions	https://en.wikipedia.org/wiki/Sena_people	Bantu Eastern
AfPO:0000250	Antemoro	0.5 million	https://en.wikipedia.org/wiki/Antemoro_people	Malagasy
AfPO:0000140	Chewa	9 millions	https://en.wikipedia.org/wiki/Chewa_people	Bantu Eastern
AfPO:0000532	Ekoi@en		https://en.wikipedia.org/wiki/Ekoi_people	Western African
AfPO:0000382	Hill Nubian	0.063 million	https://en.wikipedia.org/wiki/Hill_Nubians	Nubian Eastern
AfPO:0000170	Mauritian Creole			Eastern African
AfPO:0000275	Northern African			Population
AfPO:0000340	Nguni	> 28 millions	https://en.wikipedia.org/wiki/Nguni_people	Bantu Southern
AfPO:0000558	Mankanya@en	106900	https://en.wikipedia.org/wiki/Mankanya_people	Western African
AfPO:0000544	Kabye@en	1.22 millions	https://en.wikipedia.org/wiki/Kabye_people	Gurma
AfPO:0000491	Segeju@en	<25,000	https://en.wikipedia.org/wiki/Segeju_people	Mijikenda
AfPO:0000405	Luhya	5.4 millions	https://en.wikipedia.org/wiki/Luhya_people	Bantu Eastern
AfPO:0000530	Diffa Arabs@en	150000	https://en.wikipedia.org/wiki/Diffa_Arabs	Western African
AfPO:0000377	Alur	1.7 million	https://en.wikipedia.org/wiki/Alur_people	Luo
AfPO:0000493	Nyamwezi@en	4 Millions	https://en.wikipedia.org/wiki/Nyamwezi_people	Bantu Eastern
AfPO:0000378	Lango	2.2 millions	https://en.wikipedia.org/wiki/Lango_people	Luo
AfPO:0000571	Kango	12500	https://en.wikipedia.org/wiki/Kango_people	Pygmy Central
AfPO:0000127	Mijikenda	2.488 Millions	https://en.wikipedia.org/wiki/Mijikenda_peoples	Bantu Eastern
AfPO:0000293	Luba	>15 millions	https://en.wikipedia.org/wiki/Luba_people	Bantu Central
AfPO:0000495	Ndau@en		https://en.wikipedia.org/wiki/Ndau_people	Shona
AfPO:0000279	Kotoko	< 1 million	https://en.wikipedia.org/wiki/Kotoko_people	Central African
AfPO:0000425	Mande Western	>30 millions	https://en.wikipedia.org/wiki/List_of_Mand%C3%A9_peoples_of_Africa	Western African
AfPO:0000205	Jola	0.5 millions	https://en.wikipedia.org/wiki/Jola_people	Western African
AfPO:0000519	Damara@en	146000	https://en.wikipedia.org/wiki/Damara_people	Khoisan South
AfPO:0000206	Songhai	5 millions	https://en.wikipedia.org/wiki/Songhai_people	Nilotic Western
AfPO:0000297	Ngala	25 millions		Bantu Central
AfPO:0000204	Daza	Nilo-Saharan		Toubou
AfPO:0000560	Papel@en	140000	https://en.wikipedia.org/wiki/Papel_people	Western African
AfPO:0000422	Fon	4 millions	https://en.wikipedia.org/wiki/Fon_people	Western African
AfPO:0000393	Habesha		https://en.wikipedia.org/wiki/Habesha_peoples	Semitic Eastern
AfPO:0000411	Aku	0.01 million	https://en.wikipedia.org/wiki/Aku_people	Western African
AfPO:0000161	Dyula	6.8 millions	https://en.wikipedia.org/wiki/Dyula_people	Mande Western
